day,social_media,time_of_day,communicate_with,num_msg_sent,num_msg_rec,shared_photos,shared_videos,shared_voiceclips,documents
11-11-19,fb_messenger,morning,Stefania,0,2,0,0,0,0
11-11-19,fb_messenger,morning,Stefanos,13,9,2,0,0,0
11-11-19,signal,morning,Maath,169,148,2,0,0,0
11-11-19,fb_messenger,afternoon,Stefania,6,1,0,0,0,0
11-11-19,fb_messenger,afternoon,Stefanos,27,26,5,0,0,0
11-11-19,signal,afternoon,Maath,16,13,0,0,0,0
11-11-19,fb_messenger,evening,Priscilla,1,0,0,0,0,0
11-11-19,fb_messenger,evening,Stefania,8,7,0,0,0,0
11-11-19,fb_messenger,evening,Stefanos,38,40,3,0,0,0
11-11-19,signal,evening,Maath,1,0,0,0,0,0
11-11-19,fb_messenger,night,Stefanos,40,41,5,2,0,0
11-12-19,signal,morning,Maath,3,3,0,0,0,0
11-12-19,slack,morning,Davide,12,10,0,0,0,0
11-12-19,fb_messenger,morning,Stefanos,23,15,6,0,0,0
11-12-19,slack,afternoon,Davide,18,15,3,0,0,0
11-12-19,signal,afternoon,Maath,7,6,1,0,0,0
11-12-19,fb_messenger,evening,Stefania,2,2,0,0,0,0
11-12-19,fb_messenger,evening,Stefanos,15,11,0,0,0,0
11-12-19,fb_messenger,evening,Hadrian,3,6,1,0,0,0
11-12-19,signal,night,Maath,0,1,0,0,0,0
11-13-19,fb_messenger,morning,Stefanos,0,1,0,0,0,0
11-13-19,signal,morning,Maath,10,3,0,0,0,0
11-13-19,fb_messenger,morning,Gabriella,9,5,0,0,0,0
11-13-19,slack,morning,Davide,3,2,0,0,0,0
11-13-19,fb_messenger,afternoon,Stefanos,2,0,0,0,0,0
11-13-19,signal,afternoon,Maath,23,29,0,0,0,0
11-13-19,slack,afternoon,Davide,2,2,0,0,0,0
11-13-19,slack,afternoon,Tim,1,0,0,0,0,0
11-13-19,fb_messenger,afternoon,Emmanuel,0,1,0,0,0,0
11-13-19,fb_messenger,evening,Stefanos,141,114,2,2,0,0
11-13-19,signal,evening,Maath,72,82,2,0,0,0
11-13-19,fb_messenger,evening,Emmanuel,2,1,0,0,0,0
11-13-19,fb_messenger,evening,Joseph,2,1,0,0,0,0
11-13-19,fb_messenger,evening,Stefania,2,4,0,0,0,0
11-13-19,fb_messenger,night,Stefanos,42,35,3,0,0,0
11-13-19,fb_messenger,night,Stefania,9,8,2,0,0,0
11-14-19,slack,morning,Davide,7,2,0,0,0,3
11-14-19,fb_messenger,morning,Stefanos,10,5,0,0,0,0
11-14-19,fb_messenger,morning,Gabriella,3,14,0,0,0,0
11-14-19,slack,afternoon,Tim,0,1,0,0,0,0
11-14-19,fb_messenger,afternoon,Stefanos,5,11,1,0,0,0
11-14-19,signal,afternoon,Maath,2,3,0,0,0,0
11-14-19,fb_messenger,evening,Stefanos,1,0,0,0,0,0
11-14-19,fb_messenger,evening,Stefania,16,18,0,0,0,0
11-14-19,fb_messenger,night,Stefanos,12,12,3,0,0,0
11-14-19,signal,evening,Maath,23,28,0,0,0,0
11-15-19,fb_messenger,morning,Stefanos,10,7,2,0,0,0
11-15-19,signal,morning,Maath,50,28,0,0,2,0
11-15-19,fb_messenger,morning,Gabriella,1,4,0,0,0,0
11-15-19,slack,morning,#artificial-intel,0,1,0,0,0,0
11-15-19,slack,morning,#company-announcements,0,6,0,0,0,3
11-15-19,fb_messenger,afternoon,Gabriella,1,1,0,0,0,0
11-15-19,signal,afternoon,Maath,8,6,0,0,0,0
11-15-19,fb_messenger,afternoon,Stefanos,24,15,0,0,0,0
11-15-19,signal,evening,Maath,65,83,5,0,0,0
11-15-19,fb_messenger,evening,Stefanos,24,28,1,0,0,0
11-15-19,fb_messenger,night,Dylan,1,6,1,0,0,0
11-15-19,signal,night,Maath,0,1,0,0,0,0
11-16-19,fb_messenger,morning,Stefanos,7,6,4,1,0,0
11-16-19,fb_messenger,morning,Melaine,1,7,2,0,0,0
11-16-19,fb_messenger,morning,Kirsty,11,7,0,0,0,0
11-16-19,fb_messenger,afternoon,Dylan,14,11,0,0,0,0
11-16-19,fb_messenger,afternoon,Stefanos,6,3,0,1,0,0
11-16-19,signal,evening,Maath,36,31,6,0,2,0
11-16-19,fb_messenger,evening,Dylan,3,7,0,0,0,0
11-16-19,fb_messenger,morning,Stefanos,1,1,0,0,0,0
11-17-19,fb_messenger,morning,Joseph,0,1,0,0,0,0
11-17-19,fb_messenger,morning,Dylan,10,8,1,0,0,0
11-17-19,fb_messenger,afternoon,Stefania,1,1,0,0,0,0
11-17-19,signal,evening,Maath,32,27,0,0,0,0
11-17-19,fb_messenger,evening,Stefanos,10,8,3,0,0,0
